epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
70,2750.25,0.69741,0.5035,1.16171,0.88822,0.85027,0.9209,0.71536,0.8493,0.55406,1.38496,0.0003169,0.0003169,0.0003169
71,2788.25,0.66822,0.47535,1.13767,0.91742,0.85343,0.92578,0.71981,0.8319,0.5311,1.34429,0.000307,0.000307,0.000307
72,2827.91,0.67817,0.47393,1.14766,0.89971,0.8613,0.92866,0.72766,0.81956,0.52214,1.34119,0.0002971,0.0002971,0.0002971
73,2866.33,0.65226,0.45614,1.13222,0.9115,0.87354,0.9265,0.72733,0.8221,0.52008,1.33596,0.0002872,0.0002872,0.0002872
74,2905.74,0.66624,0.46045,1.1373,0.90403,0.8613,0.92938,0.72785,0.82839,0.52271,1.34317,0.0002773,0.0002773,0.0002773
75,2944.98,0.65691,0.45048,1.12624,0.89354,0.88419,0.93196,0.73489,0.80323,0.51004,1.32769,0.0002674,0.0002674,0.0002674
76,2983.06,0.65317,0.45226,1.12762,0.87929,0.88037,0.92453,0.71434,0.84472,0.51981,1.36666,0.0002575,0.0002575,0.0002575
77,3022.05,0.64659,0.44888,1.13224,0.89022,0.86807,0.9284,0.71923,0.85518,0.53349,1.3761,0.0002476,0.0002476,0.0002476
78,3060.05,0.64521,0.45018,1.12517,0.92687,0.8242,0.91701,0.71721,0.83983,0.55419,1.36696,0.0002377,0.0002377,0.0002377
79,3099.9,0.64067,0.45062,1.12383,0.90943,0.8782,0.92568,0.72949,0.82657,0.51408,1.3636,0.0002278,0.0002278,0.0002278
80,3137.95,0.63181,0.42935,1.11522,0.92218,0.85149,0.92652,0.72636,0.835,0.52062,1.35839,0.0002179,0.0002179,0.0002179
81,3177.01,0.63997,0.43585,1.11781,0.89596,0.85703,0.92792,0.72479,0.83714,0.51393,1.36813,0.000208,0.000208,0.000208
82,3215.79,0.62998,0.43251,1.1179,0.91661,0.86443,0.93066,0.72568,0.83059,0.50861,1.36383,0.0001981,0.0001981,0.0001981
83,3254.74,0.62235,0.42114,1.11213,0.93219,0.84311,0.93044,0.7297,0.8307,0.50884,1.36195,0.0001882,0.0001882,0.0001882
84,3293.27,0.61738,0.42763,1.10722,0.9225,0.85079,0.92332,0.71887,0.84753,0.53105,1.38057,0.0001783,0.0001783,0.0001783
85,3331.72,0.6309,0.42587,1.11191,0.93458,0.86344,0.93092,0.73272,0.82438,0.4923,1.36469,0.0001684,0.0001684,0.0001684
86,3370.78,0.61036,0.40848,1.10796,0.892,0.87227,0.9258,0.72769,0.81792,0.52233,1.3501,0.0001585,0.0001585,0.0001585
87,3408.87,0.61472,0.4261,1.10787,0.92206,0.84055,0.92022,0.72517,0.83691,0.54003,1.37845,0.0001486,0.0001486,0.0001486
88,3447.18,0.60497,0.40273,1.10389,0.90036,0.86421,0.92548,0.72749,0.82907,0.51641,1.37264,0.0001387,0.0001387,0.0001387
89,3484.47,0.59584,0.40809,1.09512,0.93573,0.85048,0.9235,0.72903,0.82938,0.51943,1.38189,0.0001288,0.0001288,0.0001288
90,3523.13,0.59403,0.39721,1.10369,0.92416,0.85853,0.92587,0.73115,0.82683,0.52123,1.36575,0.0001189,0.0001189,0.0001189
91,3561.48,0.5256,0.33337,1.08881,0.88998,0.86316,0.91904,0.72356,0.83052,0.53577,1.38122,0.000109,0.000109,0.000109
92,3599.31,0.50664,0.30749,1.07342,0.91009,0.86627,0.92217,0.72856,0.82729,0.51471,1.38298,9.91e-05,9.91e-05,9.91e-05
93,3635.78,0.49563,0.29231,1.0606,0.92962,0.85299,0.92303,0.7276,0.82852,0.50697,1.37462,8.92e-05,8.92e-05,8.92e-05
94,3673.69,0.48347,0.2835,1.05508,0.92085,0.86138,0.92679,0.72907,0.82849,0.49909,1.37756,7.93e-05,7.93e-05,7.93e-05
95,3710.31,0.48058,0.28427,1.04619,0.93152,0.85493,0.92144,0.72585,0.81599,0.50561,1.36298,6.94e-05,6.94e-05,6.94e-05
